brand, name, premium
Nike, Air Force 1 Mid Tisci Black, 31.92
Nike, Air Force 1 Mid Tisci Tan, 38.85
Nike, Air Force 1 Mid Tisci White, 75.77
Nike, Air Force 1 Mid University Blue (2016), -10.53
Nike, Air Force 1 Mid Urban Haze, -50
Nike, Air Force 1 Mid Utility Obsidian, 15.65
Nike, Air Force 1 Mid Utility University Red, 31.3
Nike, Air Force 1 Mid Utility University Red (GS), 16.84
Nike, Air Force 1 Mid Utility White Black, 32.17
Nike, Air Force 1 Mid Vachetta Tan, -18.79
Nike, Air Force 1 Mid White '07, -9.47
Nike, Air Force 1 Mid Wolf Grey White, -36.84
Nike, Air Force 1 Rebel XX Blue Void (W), 35.71
Nike, Air Force 1 Rebel XX Light Blue (W), 11.25
Nike, Air Force 1 Rebel XX Off White (W), -15.62
Nike, Air Force 1 Sage High Black (W), -44.44
Nike, Air Force 1 Sage Low Black White (W), -4
Nike, Air Force 1 Sage Low Night Stadium (W), 33
Nike, Air Force 1 Sage Low Particle Beige (W), 29
Nike, Air Force 1 Sage Low Triple White (W), 32
Nike, Air Force 1 Sage Low Trooper (W), -7
Nike, Air Force 1 Sage XX Luminous Green (W), -10
Nike, Air Force 1 Sage XX Off White (W), 6.67
Nike, Air Force 1 Ultra Flyknit Low Black Metallic Gold, -29.29
Nike, Air Force 1 Ultra Flyknit Low Multi-Color, -21.43
Nike, Air Force 1 Ultra Flyknit Low RKK New England Patriots (2018), 53.12
Nike, Air Force 1 Ultra Flyknit Low University Red, -44.38
Nike, Air Force 1 Ultra Flyknit Low Vapor Green, -22.86
Nike, Air Force 1 Ultra Flyknit Mid College Navy, -29.33
Nike, Air Force 1 Ultra Flyknit Mid Dark Grey Black, -53.71
Nike, Air Force 1 Ultra Flyknit Mid Multi-Color 2.0, -45.33
Nike, Air Force 1 Ultra Flyknit Mid Multi-Color 2.0 (GS), -57.14
Nike, Air Force 1 Ultra Flyknit Mid Palm Green, -58.86
Nike, Air Force 1 Ultra Flyknit Mid Triple White, -43.43
Nike, Air Force 1 Ultraforce High Dark Stucco, -62.5
Nike, Air Force 1 Ultraforce Low Blue Grey (GS), -22.22
Nike, Air Force 1 Ultraforce Low Triple White, -19
Nike, Air Force 1 Ultraforce Low Triple White (GS), -36.67
Nike, Air Force 1 Ultraforce Mid Pure Platinum, -23.64
Nike, Air Force 1 Upstep Glass Slipper (W), -44
Nike, Air Force 1 Upstep High Glass Slipper (W), -28
Nike, Air Force 1 Upstep LX Force Is Female Port Wine (W), -11.11
Nike, Air Force 1 Upstep Low BHM 2017 (W), -21.43
Nike, Air Force 1 Upstep Low Denim Rose Blue (W), -12.5
Nike, Air Force 1 Upstep Low Shine (W), -46.92
Nike, Air Force 1 Upstep Lux Black (W), -13.57
Nike, Air Force 1 Upstep Lux University Red (W), 2.86
Nike, Air Force 1 Utility Black Gum, -20
Nike, Air Force 1 Utility Black White (GS), 18.82
Nike, Air Force 1 Utility Mid Spruce Fog, -26.67
Nike, Air Force 1 Utility Mid Spruce Fog (GS), 0
Nike, Air Force 1 Utility Odell Beckham Jr, 8.97
Nike, Air Force 1 Utility Sequoia, -8.28
Nike, Air Force 1 Utility Volt, -9.66
Nike, Air Force 1 Utility Volt 2, 6
Nike, Air Force 1 Utility White Black, 29.66
Nike, Air Force 1 Winter Burgundy Crush, -25.38
Nike, Air Force 2 Low LA, 25
Nike, Air Force 2 Low The Dirty, 233.33
Nike, Air Force 270 Black White, -21.25
Nike, Air Force 270 Command Force, -31.87
Nike, Air Force 270 Medium Olive, -21.25
Nike, Air Force 270 Medium Olive-Challenge Red, -28.12
Nike, Air Force 270 Phantom, 25
Nike, Air Force 270 Safari, -13.75
Nike, Air Force 270 Utility Black Sail, -11.43
Nike, Air Force 270 Utility Volt, -42.29
Nike, Air Force 270 Wolf Grey, -18.13
Nike, Air Lux Force 1 Mid John Geiger White, -65.38
Nike, Lunar Force 1 Duckboot All White, 16
Nike, Lunar Force 1 Fuse Area 72, -30.67
Nike, Lunar Force 1 High UNDFTD Red, -66.29
Nike, Lunar Force 1 Low Acronym (AF100), 29.5
Nike, Lunar Force 1 Low Acronym Black White, 166.5
Nike, Lunar Force 1 Low Acronym Bright Crimson, 227
Nike, Lunar Force 1 Low Acronym Turbo Green, 113
Nike, Lunar Force 1 Low Digi Camo Black, -36
Nike, Lunar Force 1 Low NE Patriots (2015), 2
Nike, Lunar Force 1 Low New England Patriots, 194.67
