type, total_sales
Vans, 375
Air Force, 16
Other, 11
Other, 105
Converse, 60
Air Max, 60
Basketball, 36
16-33, 21
Foamposite, 6
Li-Ning, 2
8, 22
Iniki, 185
1, 45
16-33, 145
1, 2602
SB, 1
Basketball, 36
Air Max, 2
1, 234
Air Max, 323
Saucony, 19
Foamposite, 38
Other, 2
KD, 7
Lebron, 4
7, 51
SB, 9
12, 118
Air Max, 375
Other, 2
Ultraboost, 3500
Basketball, 51
5, 232
KD, 44
Basketball, 135
16-33, 7
13, 170
4, 55
Air Force, 129
Vans, 4
Other, 1
NMD, 149
Lebron, 3
Other, 5
NMD, 31
Kobe, 218
2, 9
Ultraboost, 6
16-33, 181
NMD, 5
1, 1107
Lebron, 19
13, 35
Air Max, 2
9, 68
14, 5
