brand, type, premium, total_sales, avg_sale_price
Nike, Air Force, 9.44, 78, 197
Nike, Air Force, -24, 227, 152
Nike, Air Force, -49.38, 443, 81
Nike, Air Force, -54.37, 2, 73
Nike, Air Force, -55.62, 69, 71
Nike, Air Force, -60.71, 1, 55
Nike, Air Force, 30, 10, 208
Nike, Air Force, -46.25, 57, 86
Nike, Air Force, -28.57, 1, 100
Nike, Air Force, -36.43, 21, 89
Nike, Air Force, -33.75, 132, 106
Nike, Air Force, -32.94, 168, 114
Nike, Air Force, -54.44, 21, 82
Nike, Air Force, -33.33, 5, 110
Nike, Air Force, 12.5, 25, 225
Nike, Air Force, -13.33, 56, 143
Nike, Air Force, -10, 161, 162
Nike, Air Force, 3.03, 1, 170
Nike, Air Force, -15.14, 43, 157
Nike, Air Force, 99.5, 57, 399
Nike, Air Force, -20, 4, 148
Nike, Air Force, 5, 2, 210
Nike, Air Force, -45.5, 242, 109
Nike, Air Force, -58.33, 123, 75
Nike, Air Force, -39, 54, 122
Nike, Air Force, -40, 16, 120
Nike, Air Force, -25.56, 29, 134
Nike, Air Force, -47.22, 251, 95
Nike, Air Force, -39.44, 84, 109
Nike, Air Force, -53.33, 208, 84
Nike, Air Force, -52.22, 355, 86
Nike, Air Force, -49.44, 107, 91
Nike, Air Force, -46.11, 189, 97
Nike, Air Force, -28.89, 3, 128
Nike, Air Force, -32, 39, 136
Nike, Air Force, -60, 1, 80
Nike, Air Force, -45, 55, 99
Nike, Air Force, -37, 3, 126
Nike, Air Force, -27, 60, 146
Nike, Air Force, -43.89, 47, 101
Nike, Air Force, -36.67, 8, 114
Nike, Air Force, 46.49, 12, 271
Nike, Air Force, -20.59, 75, 135
Nike, Air Force, -47.5, 46, 84
Nike, Air Force, -51.76, 239, 82
Nike, Air Force, -41.87, 1, 93
Nike, Air Force, -28.57, 1, 100
Nike, Air Force, -58.82, 24, 70
Nike, Air Force, -51.88, 71, 77
Nike, Air Force, -51.88, 6, 77
Nike, Air Force, -44.38, 8, 89
Nike, Air Force, -47.5, 46, 84
Nike, Air Force, -50, 231, 85
Nike, Air Force, -47.06, 147, 90
Nike, Air Force, -48.12, 2, 83
Nike, Air Force, -56.88, 101, 69
Nike, Air Force, -43.57, 1, 79
Nike, Air Force, -44.38, 247, 89
Nike, Air Force, -38.75, 1, 98
Nike, Air Force, -41.25, 2, 94
Nike, Air Force, -51.25, 12, 78
Nike, Air Force, 1.33, 1, 152
Nike, Air Force, -49.41, 36, 86
Nike, Air Force, -60.62, 22, 63
Nike, Air Force, -50.62, 131, 79
Nike, Air Force, -5.63, 250, 151
Nike, Air Force, -36.88, 17, 101
Nike, Air Force, -10.62, 14, 143
Nike, Air Force, -39.53, 4, 130
Nike, Air Force, 1.21, 53, 167
Nike, Air Force, 36.36, 21, 225
Nike, Air Force, -38.92, 3, 113
Nike, Air Force, 82.16, 6, 337
Nike, Air Force, -20, 2, 88
Nike, Air Force, -12.22, 29, 79
Nike, Air Force, -51, 1, 49
Nike, Air Force, 4, 3, 104
Nike, Air Force, -9.33, 10, 68
Nike, Air Force, 69.17, 2, 203
Nike, Air Force, -16.67, 2, 75
Nike, Air Force, 0, 1, 95
Nike, Air Force, -15.79, 1, 80
Nike, Air Force, -14.07, 4, 116
Nike, Air Force, -30, 6, 63
Nike, Air Force, 5, 33, 105
Nike, Air Force, 6, 48, 106
Nike, Air Force, -40, 8, 51
Nike, Air Force, -27, 30, 73
Nike, Air Force, -42.42, 2, 95
Nike, Air Force, 33.19, 8, 313
Nike, Air Force, 959.33, 76, 1589
Nike, Air Force, 1.33, 510, 76
Nike, Air Force, 0, 2, 85
Nike, Air Force, -42.86, 3, 100
Nike, Air Force, 1.05, 8, 96
