type, total_sales, name
Kobe, 218, Kobe 1 Protro Undefeated Green Camo (Silver Lake)
Kobe, 208, Kobe 1 Protro Undefeated Orange Camo (Phoenix)
Kobe, 237, Kobe 1 Protro Undefeated Red Camo (Santa Monica)
Kobe, 848, Kobe 1 Protro Undefeated White
Kobe, 253, Kobe 1 Protro Undefeated Yellow Camo (La Brea)
Kobe, 402, Kobe 1 Protro White Black Red
Kobe, 1, Kobe 1 Sharpshooter
Kobe, 2, Kobe 1 White Shark
Kobe, 25, Kobe 10 5AM Flight
Kobe, 20, Kobe 10 Blackout
Kobe, 12, Kobe 10 Bright Crimson
Kobe, 2, Kobe 10 EXT High Black
Kobe, 3, Kobe 10 EXT White Gum
Kobe, --, Kobe 10 Easter (GS)
Kobe, 18, Kobe 10 Elite American
Kobe, 109, Kobe 10 Elite Chester
Kobe, 177, Kobe 10 Elite Christmas
Kobe, 26, Kobe 10 Elite Commander
Kobe, 16, Kobe 10 Elite Elite High Elevate
Kobe, 56, Kobe 10 Elite Elite High Rose Gold Pack
Kobe, 47, Kobe 10 Elite Elite High Team Pack
Kobe, --, Kobe 10 Elite Ext White Gum
Kobe, 13, Kobe 10 Elite HTM Arrowhead
Kobe, 1, Kobe 10 Elite HTM Arrowhead EU Exclusive
Kobe, 42, Kobe 10 Elite HTM Oreo
Kobe, 18, Kobe 10 Elite HTM Racecar
Kobe, 23, Kobe 10 Elite HTM Shark Jaw
Kobe, 35, Kobe 10 Elite Low Black Mamba Collection Fade to Black
Kobe, 84, Kobe 10 Elite Low Drill Sergeant
Kobe, 43, Kobe 10 Elite Low Opening Night
Kobe, 141, Kobe 10 Elite Mambacurial
Kobe, 18, Kobe 10 Elite Opening Night
Kobe, 65, Kobe 10 Emerald City
Kobe, 24, Kobe 10 Flight
Kobe, 36, Kobe 10 Fundamentals
Kobe, 51, Kobe 10 Hot Lava
Kobe, 49, Kobe 10 Independence Day
Kobe, 19, Kobe 10 Pain
Kobe, 91, Kobe 10 Peach Jam
Kobe, 10, Kobe 10 Silk Road
Kobe, 40, Kobe 11 3D
Kobe, --, Kobe 11 Achilles Heel (GS)
Kobe, 2, Kobe 11 Alt Tumbled Grey
Kobe, --, Kobe 11 Aquamarine
Kobe, 41, Kobe 11 Brave Blue
Kobe, 35, Kobe 11 Carpe Diem
Kobe, 75, Kobe 11 EM Low Barcelona
Kobe, 29, Kobe 11 EM Low Black Cool Grey
Kobe, 10, Kobe 11 EM Low Fundamental
Kobe, 10, Kobe 11 EM Low Green Snake (GS)
Kobe, 48, Kobe 11 EM Low Invisibility Cloak
Kobe, 201, Kobe 11 EM Low Mambacurial
Kobe, 33, Kobe 11 EM Low Summer Pack
Kobe, 103, Kobe 11 Elite Low 4KB
Kobe, 44, Kobe 11 Elite Low 4KB Black Horse
Kobe, 42, Kobe 11 Elite Low 4KB Pale Horse
Kobe, 100, Kobe 11 Elite Low 4KB Red Horse
Kobe, 96, Kobe 11 Elite Low Achilles Heel
Kobe, 141, Kobe 11 Elite Low All Star (2016)
Kobe, 83, Kobe 11 Elite Low BHM (2016)
Kobe, 100, Kobe 11 Elite Low Black Mamba Collection Fade to Black
Kobe, 60, Kobe 11 Elite Low Black Space
Kobe, 5, Kobe 11 Elite Low Brazil
Kobe, 166, Kobe 11 Elite Low Bruce Lee
Kobe, 35, Kobe 11 Elite Low Easter
Kobe, 89, Kobe 11 Elite Low Eulogy Hyper Grape
Kobe, 55, Kobe 11 Elite Low FCB Mambacurial
Kobe, 30, Kobe 11 Elite Low Last Emperor
Kobe, 73, Kobe 11 Elite Low Mark Parker
Kobe, 88, Kobe 11 Elite Low Master of Innovation
Kobe, 63, Kobe 11 Elite Low Oreo
Kobe, 1, Kobe 11 Elite Low Oreo (GS)
Kobe, --, Kobe 11 Elite Low TV (GS)
Kobe, 133, Kobe 11 Elite Low Tinker
Kobe, 57, Kobe 11 Elite Low USA
Kobe, 3, Kobe 11 Grey Black
Kobe, 88, Kobe 11 Low Draft Day
Kobe, 133, Kobe 11 Low Mamba Day (Black)
Kobe, 36, Kobe 11 Lower Merion
Kobe, 22, Kobe 11 Quai 54
Kobe, 61, Kobe 11 Sunset
Kobe, 37, Kobe 11 Team Bank Black
Kobe, --, Kobe 11 Team Bank Game Royal
Kobe, 4, Kobe 11 Team Bank Gorge Green
Kobe, --, Kobe 11 Team Bank Midnight Navy
Kobe, --, Kobe 11 Team Bank University Red
Kobe, 1, Kobe 11 Team Bank White
Kobe, 31, Kobe 2 Black Mamba Collection Fade to Black
Kobe, 41, Kobe 2 Prelude (4-50+ Points)
Kobe, 32, Kobe 3 Black Mamba Collection Fade to Black
Kobe, 41, Kobe 3 Prelude (Misery)
Kobe, 6, Kobe 4 All Star
Kobe, 45, Kobe 4 Black Mamba Collection Fade to Black
Kobe, 10, Kobe 4 Black White Varsity Red
Kobe, 10, Kobe 4 Carpe Diem
Kobe, 7, Kobe 4 Del Sol
Kobe, 10, Kobe 4 Gold Medal
Kobe, 8, Kobe 4 Gradient Away
Kobe, 11, Kobe 4 Gradient Home
Kobe, 13, Kobe 4 Hornets
Kobe, 7, Kobe 4 Inline
Kobe, 5, Kobe 4 MLK Gold
Kobe, 10, Kobe 4 MPLS
Kobe, 11, Kobe 4 NBA Final MVP Away
Kobe, 7, Kobe 4 NBA Final MVP Home
Kobe, 15, Kobe 4 POP
Kobe, 61, Kobe 4 Prelude (Finals MVP)
Kobe, 1, Kobe 4 USC Trojans
Kobe, 8, Kobe 5 5 Rings
Kobe, 10, Kobe 5 All Star
Kobe, 1, Kobe 5 Aston Martin Pack
Kobe, 7, Kobe 5 Big Stage Away
Kobe, 7, Kobe 5 Big Stage Home
Kobe, 40, Kobe 5 Black Mamba Collection Fade to Black
Kobe, 2, Kobe 5 Blackout
