name, premium, brand, retail_price
Air Max Posite Bakin Boot Triple Black (2017), -11.11, Nike, 225
Air Max Uptempo 97 Black Anthracite, -31.76, Nike, 170
Air Max Uptempo 97 White Black College Navy (2018), -21.25, Nike, 160
Air More Money Black White, -38.75, Nike, 160
Air More Money Court Purple, -30, Nike, 160
Air More Money Currency Pack (USA), -10.62, Nike, 160
Air More Money White Black Team Red, -13.12, Nike, 160
Air More Uptempo 96 Italy, 5.88, Nike, 170
Air More Uptempo 96 UK, 23.53, Nike, 170
Air More Uptempo Atlanta, 42.94, Nike, 170
Air More Uptempo Barley Green (W), -34.38, Nike, 160
Air More Uptempo Black Reflective, 13.75, Nike, 160
Air More Uptempo Black Reflective (2018), -1.25, Nike, 160
Air More Uptempo Black White (2016), 83.33, Nike, 180
Air More Uptempo Black White 2016 (GS), 54.62, Nike, 130
Air More Uptempo Bulls Hoops Pack (2017), 58.75, Nike, 160
Air More Uptempo Bulls Hoops Pack (GS), 13.08, Nike, 130
Air More Uptempo Chicago, 25.88, Nike, 170
Air More Uptempo Cool Grey Midnight Navy, -25.62, Nike, 160
Air More Uptempo Doernbecher (2017), 131.88, Nike, 160
Air More Uptempo Knicks, 33.13, Nike, 160
Air More Uptempo Knicks (GS), 12.31, Nike, 130
Air More Uptempo Light Bone, -11.88, Nike, 160
Air More Uptempo NYC, -14.71, Nike, 170
Air More Uptempo Obsidian, -5, Nike, 160
Air More Uptempo Olympic (2016), 46.88, Nike, 160
Air More Uptempo Scottie Pippen, 30.62, Nike, 160
Air More Uptempo Scottie Pippen (2018), 13.75, Nike, 160
Air More Uptempo Supreme "Suptempo" Black, 167.89, Nike, 190
Air More Uptempo Supreme "Suptempo" Gold, 150.53, Nike, 190
Air More Uptempo Supreme "Suptempo" Red, 319.47, Nike, 190
Air More Uptempo Tri-Color, 51.25, Nike, 160
Air More Uptempo Triple White, 4.37, Nike, 160
Air More Uptempo University Blue, 18.12, Nike, 160
Air More Uptempo Varsity Red, 81.88, Nike, 160
Air More Uptempo What The 90s (GS), -18.57, Nike, 140
Air More Uptempo White Gum, 12.5, Nike, 160
Air More Uptempo White Midnight Navy (GS), -5.38, Nike, 130
Air More Uptempo White Varsity Red Outline, -3.12, Nike, 160
Air Penny IV Black Atlantic Blue, -55.62, Nike, 160
Air Pippen 1 Black Vast Grey, -44.38, Nike, 160
